void topopen  		character "W"
void topclose 		character "w"

void bottomopen  	character "U"
void bottomclose	character "u"

void shoulderu90	character "V"
void shoulderd0		character "v"

void shoulderu180	character "X" 
void shoulderd90	character "x"

void base0	character 0
void base20	character 1
void base35	character 2
void base50	character 3
void base70	character 4
void base85	character 5
void base100	character 6
void base120	character 7
void base140	character 8
void base160	character 9
void base180	character q
